locus	gene_name	gene_function	gene_product	synonyms	regulon	operon	sigma_factor	regulator	regulatory_mechanism	regulation_sign	metabolite	metabolite_sign	annotation
BSU20850	yopL	unknown	unknown	aimP|AimP|yopL	SigA|CcpA|			CcpA|	TF+PP+M|	-1|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	1 1|	"hypothetical protein, phage SPbeta"
BSU36590	clsA	biosynthesis of phospholipids	"cardiolipin synthase, major enzyme"	clsA|ywnE		ywnE							cardiolipin synthase
new_160675_160892	S64		5' of rrnI-16S	S64
new_2037369_2037470_c	S697		5'UTR of yozS	S697
BSU18350	dacC	carboxypeptidase	"penicillin-binding protein 4A, D-alanyl-D-alanine carboxypeptidase"	dacC|pbp	SigH|	yoxA-dacC	sigH|sigB|						D-alanyl-D-alanine carboxypeptidase
BSU37720	bacC	biosynthesis of the antibiotic bacilysin	dihydroanticapsin 7-dehydrogenase	bacC|ywfD|ipa-82d	ScoC|		sigH|	scoC|CodY|AbrB|	TF|TF+M|TF|	-1|-1|-1|	 @|GTP isoleucine valine| @|	nan|1 1 1|nan|	bacilysin biosynthesis oxidoreductase
BSU03550	ycxC	unknown	unknown	ycxC				*YcxD*|	silico-TF+unk|	NaN|	unk|	|	putative permease
BSU17699	ynzK	unknown	unknown	ynzK									putative membrane protein
new_2784919_2785000_c	S1032		intergenic region	S1032
BSU14900	ctaD	respiration	cytochrome-c oxidase (subunit I)	ctaD	AbrB|	ctaBCDEFG	sigA|	ResD|CcpA|AbrB|Abh|	TF-TC|TF+PP+M|TF|TF|	1|-1|-1|-1|	"Menaquinone|D-fructose-1,6-bisphosphate Glucose-6-Phosphate| @| @|"	1|1 1|nan|nan|	cytochrome caa3 oxidase (subunit I)
BSU04750	ydcF	unknown	unknown	ydcF	PamR|								hypothetical protein
new_2679011_2679382	S979	The antisense RNA of cotP	3' of S978	S979
BSU39029	yxiT	unknown	unknown	yxiT/1									hypothetical protein
new_2741085_2741356_c	S1011		3'UTR of zinT	S1011
BSU09460	ctrA	biosynthesis/acquisition of branched-chain amino acids	branched-chain amino acid transporter	bcaP|yhdG		yhdG		CodY|	TF+M|	-1|	GTP isoleucine valine|	1 1 1|	branched-chain amino acid transporter
BSU31450	kinB	initiation of sporulation	two-component sensor kinase	kinB	stringent response|	kinB-kapB	sigA|	stringent response|CodY|AbrB|	Nan|TF+M|TF|	1|-1|-1|	NaN|GTP isoleucine valine| @|	nan|1 1 1|nan|	two-component sensor histidine kinase
BSU09000	yhbJ	unknown	unknown	yhbJ		yhbIJ-yhcABCDEFGHI	sigG|	ComK|	TF|	1|	 @|	nan|	"putative integral inner membrane protein, putative exporter subunit"
BSU32770	yusE	unknown	unknown	yusE	Spo0A|			Spo0A|	TF+PP|	1|	nan|	nan|	putative thiol-disulfide oxidoreductase with thioredoxin domain
new_2283652_2283755_c	S816		5'UTR of yokC	S816
BSU28340	ysnF	survival of ethanol  stress	unknown	ysnF	SigE|SigB|	ysnF	sigB|						putative stress response protein
BSU12120	yjfB	unknown	unknown	yjfB	SigD|	yjfB	sigD|						conserved hypothetical protein
BSU19690	kamA	unknown	"lysine 2,3-aminomutase"	kamA|yodO	SigE|		sigE|						"lysine 2,3-aminomutase"
new_2637203_2637542_c	S962	The antisense RNA of dinB	independent transcript	S962
BSU07060	yesX	utilization of rhamnogalacturonan	"rhamnogalacturonan lyase, degrades oligo- to disaccharides"	yesX	RhgR|			YesS|CcpA|	TF+P+unk|TF+PP+M|	1|NaN|	"unk|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	nan|1 1|	polysaccharide lyase
new_2111720_2111836_c	S747		intergenic region	S747
BSU33750	sdpA	maturation of the [[protein|820635420B3980B620F3E3D7ACF7EDE9DC6275AD]] toxin	unknown	sdpA|yvaW	AbrB|			Spo0A|Rok|AbrB|	TF+PP|TF|TF|	1|-1|-1|	nan| @| @|	nan|nan|nan|	export of killing factor
BSU18210	yngE	"mother cell metabolism, leucine utilization"	"methylcrotonoyl-CoA carboxylase, subunit"	yngE	SigE|	yngJIHGFE	sigE|	SpoIIID|CcpA|	TF|TF+PP+M|	-1|NaN|	"nan|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	nan|1 1|	putative propionyl-CoA carboxylase
BSU30530	ytnA	uptake of D- and L-alanine	alanine permease	ytnA									putative amino acid permease
BSU37910	spsA	spore coat polysaccharide synthesis	nucleotide-sugar-dependent glycosyltransferase	spsA|ipa-63d	SigE|		sigK|						spore coat dTDP-glycosyltransferase
BSU19270	yozN	unknown	unknown	yozN			sigE|						conserved hypothetical protein
BSU23090	rsiX	control of SigX activity	anti-SigX	rsiX|ypuN	SigX|	sigX-rsiX	sigX|sigA|	YvrHb|	TF-TC|	1|	unk|	nan|	negative regulator of sigma(X) activity
BSU20990	yonU	unknown	unknown	yonU									"hypothetical protein, phage SPbeta"
new_4010329_4010403	S1505		5'UTR of citH	S1505
BSU17770	yndF	[[category|SW 4.2.4]]	part of the [[protein|AE28299B0F274B189DD90554A5A4F7B9A9479B60]]-[[protein|B14179D0EF5D3493E5CDB8E15378A5088B4FFD10]]-[[protein|2211659780DEC3F4131B127E68EEF626534DF4BE]] germinant receptor	yndF	SigG|	yndDEF	sigG|	SpoVT|	TF|	-1|	nan|	nan|	putative spore germination lipoprotein
BSU15310	spoIIGA	maturation of SigE	Pro-SigE protease	spoIIGA	AbrB|	spoIIGA-sigE-sigG	sigG|sigF|sigA|	Spo0A|SinR|SpoVT|RsfA|	TF+PP|TF|TF|P|	1|-1|-1|1|	nan|nan|nan| @|	nan|nan|nan|nan|	protease processing pro-sigma-E
new_3816846_3817724_c	S1445	The antisense RNA of phoB	independent transcript	S1445
BSU10870	yisU	unknown	unknown	yisU									putative aminoacid related metabolite efflux transporter
BSU10370	bioY	uptake of biotin	S protein of biotin [SW|ECF transporter]	yhfU|bioY									biotin transporter
new_1319640_1320569_c	S454	The antisense RNA of ydhG	3'UTR of xkdA	S454
BSU04839	ydzL	unknown	unknown	ydzL	ImmR|								conserved hypothetical protein
BSU37860	spsF	spore coat polysaccharide synthesis	unknown	spsF|ipa-68d	SigE|		sigK|						putative glycosyltransferase
BSU25250	ccpN	"repressor of genes involved in gluconeogenesis ([[gene|C1B89BD3DD27CD566018558D3A7845FB451056F0]], [[gene|74D4616D1A550D87182FAAC2A4AF6E04F81E1572]]) and of [[gene|FC93BA60BD185DE5EF31D5605F0B8294EC2E8E5A]]"	transcriptional regulator (CcpN family)	ccpN|yqzB		ccpN-yqfL		YqfL|	unk|	-1|	nan|	nan|	repressor of genes involved in gluconeogenesis
new_4007659_4007722_c	S1504		5'UTR of yxiT/2	S1504
BSU34340	epsD	biofilm formation	unknown	epsD|yveN	EAR riboswitch|	epsABCDEFGHIJKLMNO	sigA|sigH|	SinR|EAR|AbrB|	TF|RNA-anti antiterminator|TF|	-1|NaN|-1|	nan|unk| @|	nan|nan|nan|	putative extracellular matrix biosynthesis enzyme
BSU30800	menB	biosynthesis of menaquinone	naphthoate synthase	menB	SigA|	menBEC	sigA|						dihydroxynapthoic acid synthetase
BSU24170	mmgA	"mother cell metabolism, leucine utilization"	degradative acetoacetyl-CoA thiolase	mmgA|yqiL	spxA|NtdR|CcpA|	mmgABCDE-yqiQ	sigE|	CcpA|SpoIIID|	TF+PP+M|TF|	-1|-1|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate|nan|"	1 1|nan|	degradative acetoacetyl-CoA thiolase
BSU08029	yfzA	unknown	unknown	yfzA									conserved hypothetical protein
BSU06840	yeeI	unknown	unknown	yeeI									conserved hypothetical protein
BSU02250	ybfJ	unknown	unknown	ybfJ	CodY|		sigE|						putative lipoprotein
BSU29200	accA	"production of malonyl-CoA, the substrate for fatty acid biosynthesis"	acetyl-CoA carboxylase (alpha subunit))	accA	Spo0A|	Op178		Spo0A|	TF+PP|	1|	nan|	nan|	acetyl-CoA carboxylase (carboxyltransferase alpha subunit)
new_1297643_1300149_c	S449	The antisense RNA of gmuR	5'UTR of yjlA	S449
new_2544915_2544994	S921		5'UTR of yqhL	S921
BSU24590	yqhG	unknown	unknown	yqhG	SigE|SigF|		sigF|	LexA|	TF-proteolyse|	NaN|	DNA_Damage|	1|	conserved hypothetical protein
BSU14500	ykqA	unknown	unknown	ykqA|ylxU|yzaB	SigA|								conserved hypothetical protein
BSU22030	ypbR	fusion of membranes	dynamin-like protein	dynA|ypbR		mrgC		Fur|	TF+M|	-1|	Iron|	1|	putativeGTP-binding protein
new_3193548_3194425_c	S1187	The antisense RNA of ydhU.1	intergenic region	S1187
new_4020908_4020976_c	S1509		intergenic region	S1509
BSU33570	yvaE	unknown	subunit of unidentified multidrug transporter	yvaE	SigV|								putative metabolite-efflux transporter
BSU22570	ypiF	unknown	unknown	ypiF	CcpA|		sigH|	CcpA|	TF+PP+M|	-1|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	1 1|	conserved hypothetical protein
BSU27720	queA	tRNA modification	S-adenosylmethionine tRNA ribosyltransferase	queA									S-adenosylmethionine tRNA ribosyltransferase-isomerase
BSU_tRNA_30	trnD.Ser	translation	transfer RNA-Ser	trnD-Ser									transfer RNA-Ser
BSU28010	mreD	cell shape determation	cell shape-determining protein	mreD|rodB	FsrA|SigH|	mreBCD-minCD	sigM|sigH|						cell-shape determining protein
BSU22820	yphE	unknown	unknown	yphE	AbrB|AbrB|			AbrB|	TF|	-1|	 @|	nan|	conserved hypothetical protein
BSU_misc_RNA_26	X.21			BSU_misc_RNA_26									PyrR
BSU02670	lmrB	resistance to lincomycin	lincomycin-resistance protein	lmrB|yccA	SigA|SigE|LmrA|	lmrAB	sigA|	LmrA|Qdor|	TF+M|TF+M|	-1|NaN|	Flavonoids|Flavonoids|	-1|-1|	"efflux transporter, drug-export protein"
BSU_tRNA_24	trnI.Thr	translation	transfer RNA-Thr	trnI-Thr									transfer RNA-Thr
BSU40210	yydC	unknown	unknown	yydC	Rok|SigB|								conserved hypothetical protein
BSU00500	gcaD	cell wall metabolism	bifunctional N-acetylglucosamine-1-phosphate	gcaD|tms|tms26|glmU	stringent response|	gcaD-prs-ctc	sigA|	stringent response|	Nan|	-1|	NaN|	nan|	UDP-N-acetylglucosamine pyrophosphorylase
BSU13210	thiX	thiamine uptake	thiamine [SW|ECF transporter] (membrane-spanning T protein)	thiX|ykoC	SigA|YcnK|CggR|Thi-box|		sigK|	Thi-box|	riboswitch|	-1|	TPP|	-1|	"thiamine transporter, permease component"
BSU14550	ykrA	unknown	unknown	ykrA									putative hydrolase
BSU39550	yxeH	dephosphorylation of phosphosugars	sugar phosphatase	yxeH									putative hydrolase
BSU31830	yueE	unknown	unknown	yueE			sigK|						putative metal-dependent phosphohydrolase
new_1900570_1900855_c	S641		independent transcript	S641
new_560621_561166	S181		independent transcript	S181
BSU41030	jag	unknown	[[protein|D40C202E67A5319A91811DB11356F47A56C97DD2]]-associated protein	jag	SigA|	spoIIIJ-jag	sigA|						SpoIIIJ-associated RNA/ssDNA-binding protein
BSU11170	yitY	unknown	unknown	yitY									putative FMN/FAD-binding oxidoreductase
BSU38910	yxjL	unknown	two-component response regulator	yxjL									two-component response regulator [YxjM]
BSU13180	metE	biosynthesis of methionine	methionine synthase	metE|metC	S-box|	metE	sigA|	S-box-SAM|	riboswitch|	-1|	S-adenosyl-L-methionine|	-1|	cobalamin-independent methionine synthase
BSU15770	prkC	germination in response to muropeptides	protein kinase	prkC|yloP									protein kinase
BSU36210	ywqH	unknown	unknown	ywqH									conserved hypothetical protein
BSU21670	ypqP.1	spore envelope polysaccharide biosynthesis	unknown	ypqP|spsM	SigA|		sigK|						"putative capsular polysaccharide biosynthesis enzyme fragment, C-terminal part of YpqP"
BSU03788	yczM	unknown	unknown	yczM									hypothetical protein
new_2611388_2611455_c	S958		intergenic region	S958
BSU03770	rapC	control of [[protein|ComA ]]activity	response regulator aspartate phosphatase	rapC|yclL	SigF|CcpA|	rapC-phrC	sigA|sigH|	ComA|CodY|	TF-TC|TF+M|	1|-1|	ComX|GTP isoleucine valine|	1|1 1 1|	response regulator aspartate phosphatase
BSU04170	ydaB	unknown	unknown	ydaB				TnrA|	TF+P+M|	NaN|	Glutamine|	-1|	putative acyl-CoA ligase
BSU11839	yjzE	unknown	unknown	yjzE	SigB|		sigB|						hypothetical protein
BSU20590	yoqL	unknown	unknown	yoqL									"putative endonuclease, phage SPbeta"
new_630028_630114	S203		intergenic region	S203
BSU38730	cydD	required for expression of cytochrome bd	ABC transporter  (ATP-binding protein)	cydD|yxkN	SigG|CcpA|	cydABCD	sigA|	Rex|ResD|CcpA|	TF+M|TF-TC|TF+PP+M|	-1|1|-1|	"NADH NAD|Menaquinone|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	1 1|1|1 1|	ABC membrane transporter (ATP-binding protein) required for cytochrome bd function
new_1473128_1473196_c	S508		5'UTR of patA	S508
new_428689_428793	S129		intergenic region	S129
BSU25630	yqeK	unknown	unknown	yqeK									putative hydrolase
BSU17600	xylA	utilization of xylan and xylose	xylose isomerase	xylA	CcpA|	xylAB	sigA|	XylR|CcpA|CcpB|	TF+M|TF+PP+M|TF+unk|	-1|-1|-1|	"Xylose|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|unk|"	-1|1 1|nan|	xylose isomerase
BSU16640	ylxP	protection against paraquat stress	unknown	ylxP|ymxD	stringent response|	ylxS-nusA-ylxRQ-infB-ylxP-rbfA	sigB|sigA|	stringent response|	Nan|	-1|	NaN|	nan|	conserved hypothetical protein
BSU16870	ymfI	modification of Efp	Efp-5 aminopentanone reductase	ymfI			sigK|						putative oxidoreductase
new_2642036_2642116	S964		3'UTR of comER	S964
BSU26030	yqbO	unknown	unknown	yqbO									putative lytic transglycosylase
new_2273515_2273748	S809	stability of prophage SPß	hydrophobic class I toxin	bsrG|bsrG|S809
new_37639_37719	S22		intergenic region	S22
BSU05150	ydeC	unknown	unknown	ydeC	SigB|		sigB|						putative transcriptional regulator (AraC/XylS family)
BSU15870	recG	DNA repair and chromosomal segregation	"ATP-dependent DNA helicase, branch migration translocase"	recG|ylpB									branch migrating ATP-dependent DNA helicase involved in DNA recombination and repair
BSU00820	lysS	translation	lysyl-tRNA synthetase	lysS	SigA|	pabBAC-sul-folBK-yazB-yacF-lysS	sigA|						lysyl-tRNA synthetase
BSU24600	sinI	control of biofilm formation	antagonist of [[protein|5A6FBAE6553343092862CB79E150F934978C32A9]]	sinI	ScoC|	sinIR	sigA|sigH|	Spo0A|scoC|AbrB|SinR|	TF+PP|TF|TF|TF|	-1|-1|-1|-1|	nan| @| @|nan|	nan|nan|nan|nan|	antagonist of SinR
BSU19320	sqhC	biosynthesis of sporulenes	squalene-hopene cyclase	sqhC	SigE|		sigE|						squalene-hopene cyclase
BSU25760	spoIVCB	late mother cell-specific gene expression	[SW|RNA polymerase ]sporulation-specific sigma factor(sigma-K) (5' part of the gene)	sigK|sigKN|spoIVCB		spoIVCB-spoIIIC	sigK|sigE|	SpoIIID|GerE|	TF|TF|	1|-1|	nan| @|	nan|nan|	RNA polymerase sporulation-specific sigma-K factor precursor (Sigma-27) (N-terminal half)
BSU29490	tpx	unknown	unknown	tpx|ytgI	Spo0A|Spo0A|spxA|			Spx|	TF+S|	1|	Thiol_specific_oxidative_stress::stress|	1|	putative peroxiredoxin
BSU22810	yphF	unknown	unknown	yphF|johF	AbrB|			AbrB|	TF|	-1|	 @|	nan|	putative lipoprotein
new_952948_953024	S306		3' of trnD-Leu1	S306
new_1105569_1105635_c	S363		5'UTR of aprE	S363
BSU28530	etfB	fatty acid degradation	electron transfer flavoprotein (beta subunit)	etfB	CcpA|	lcfA-ysiAB-etfBA	sigA|	FadR|CcpA|	TF+M|TF+PP+M|	-1|-1|	"Palmitoyl-CoA Oleoyl-CoA|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	1|1 1|	electron transfer flavoprotein (beta subunit)
new_3129078_3129194_c	S1167		intergenic region	S1167
BSU11400	appC	uptake of oligopeptides	oligopeptide ABC transporter (permease)	appC	ScoC|	appDFABC		scoC|CodY|TnrA|	TF|TF+M|TF+P+M|	-1|-1|NaN|	 @|GTP isoleucine valine|Glutamine|	nan|1 1 1|-1|	oligopeptide ABC transporter (permease)
BSU14050	ykuE	unknown	Mn/ Zn-dependent phosphatase	ykuE									putative metallophosphoesterase
new_1591418_1591539	S559		intergenic region	S559
BSU17690	yncM	unknown	unknown	yncM	AbrB|			AbrB|	TF|	-1|	 @|	nan|	conserved hypothetical protein
BSU13510	ykzE	unknown	unknown	ykzE	SigA|SigG|			SpoVT|	TF|	1|	nan|	nan|	conserved hypothetical protein
BSU09880	yhaR	unknown	unknown	yhaR	CcpA|		sigH|	CcpA|	TF+PP+M|	-1|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	1 1|	putative dehydratase
new_3675995_3676059_c	S1371		5'UTR of tagG	S1371
BSU15990	rpsP	translation	ribosomal protein S16 (BS17)	rpsP	stringent response|			stringent response|	Nan|	-1|	NaN|	nan|	ribosomal protein S16 (BS17)
BSU13350	ykoN	unknown	unknown	ykoN									putative glycosyltransferase
BSU12430	rapA	control of sporulation initiation	response regulator aspartate phosphatase	rapA|gsiAA|spo0L	CcpA|	rapA-phrA	sigA|	Spo0A|ComA|CodY|	TF+PP|TF-TC|TF+M|	-1|1|-1|	nan|ComX|GTP isoleucine valine|	nan|1|1 1 1|	response regulator aspartate phosphatase
new_1451263_1451370	S502		5'UTR of zosA	S502
BSU12510	xre	regulation of PBSX prophage gene expression	transcriptional repressor (Xre family)	xre		xre		Xre|Xre|	TF|TF|	-1|-1|	nan|nan|	nan|nan|	Phage PBSX transcriptional regulator
BSU20800	yopQ	unknown	unknown	yopQ									"conserved hypothetical protein, phage SPbeta"
BSU08660	sspE	protection of spore DNA	small acid-soluble spore protein (major gamma-type SASP)	sspE	YfhP|	yfhQ-fabL-sspE	sigE|sigG|sigA|	YfhP|SpoVT|RsfA|	unk|TF|P|	-1|-1|1|	nan|nan| @|	nan|nan|nan|
BSU40170	yydG	control of [[protein|49E70A20CC05DBE485953C0AE34E634EFB33C3B2]]-[[protein|9A1871BD853254EEA8B4E78CA187F9315CBDF43D]] activity	radical SAM epimerase	yydG	AbrB|	yydFGHIJ	sigA|	AbrB|Rok|	TF|TF|	-1|-1|	 @| @|	nan|nan|	putative AdoMet radical enzyme
BSU17070	ymcC	unknown	unknown	ymcC									putative integral inner membrane protein
BSU21470	sunT	[[protein|1A6D90298D039FFFD977B2534952BA5E32B3530F|sublancin]] export and processing	[[protein|1A6D90298D039FFFD977B2534952BA5E32B3530F|sublancin]] 168 lantibiotic ABC transporter	sunT|yolH	AbrB|	sunT-bdbA-yolJ-bdbB		YvrHb|Rok|AbrB|Abh|	TF-TC|TF|TF|TF|	1|-1|-1|1|	unk| @| @| @|	nan|nan|nan|nan|	sublancin 168 lantibiotic transporter
BSU24030	bkdB	utilization of branched-chain keto acids	"2-oxoisovalerate dehydrogenase (E2 subunit, lipoamide acyltransferase)"	bkdB|bfmBB|bfmB2|bkd	CodY|	ptb-bcd-buk-lpdV-bkdAABB	sigL|	CodY|BkdR|TnrA|	TF+M|TF+M|TF+P+M|	-1|1|-1|	GTP isoleucine valine|isoleucine valine|Glutamine|	1 1 1|1 1|-1|	branched-chain alpha-keto acid dehydrogenase E2 subunit (lipoamide acyltransferase)
BSU31760	pncA	NAD salvage	nicotinamidase	pncA|yueJ									nicotinamidase
BSU37880	spsD	spore coat polysaccharide synthesis	unknown	spsD|ipa-66d	SigE|		sigK|						putative TDP-glycosamine N-acetyltransferase
BSU36280	ywqA	unknown	unknown	ywqA									putative ATP-binding SNF2 helicase or protein kinase
BSU21070	yonJ	unknown	unknown	yonJ									"conserved hypothetical protein, phage SPbeta"
new_818856_819310_c	S252		intergenic region	S252
new_3354935_3355044_c	S1256		intergenic region	S1256
new_4051522_4051601_c	S1518		intergenic region	S1518
BSU37600	ywfO	unknown	unknown	ywfO|ipa-93d									putative metal-dependent phosphohydrolase
new_79027_79091	S40		5'UTR of coaX	S40
BSU32380	yunE	unknown	unknown	yunE									putative integral inner membrane protein
BSU39280	yxxE	unknown	unknown	yxxE									conserved hypothetical protein
BSU40270	yycP	unknown	unknown	yycP	SigE|PhoP|		sigK|sigE|	PhoP|	TF-TC|	1|	phosphate|	-1|	conserved hypothetical protein
new_1930742_1930833	S670		5'UTR of yneP	S670
BSU39680	iolI	myo-inositol catabolism	"inosose isomerase, converts 2KMI to 1-keto-D-chiro-inositol"	iolI|yxdH	CcpA|	mmsA-iolBCDEF-idh-iolHI-fbaB	sigA|	IolR|CcpA|	TF+M|TF+PP+M|	-1|-1|	"2-deoxy-5-keto-D-gluconic-acid-6-phosphate|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	-1|1 1|	putative sugar-phosphate epimerase/isomerase
BSU11000	yitI	unknown	unknown	yitI				S-box-SAM|	riboswitch|	-1|	S-adenosyl-L-methionine|	-1|	putative N-acetyltransferase
BSU30620	ytlD	unknown	ABC transporter (permease)	ytlD	SigK|	ytlABCD	sigK|						putative permease of ABC transporter
BSU12580	xtmB	phage DNA replication	PBSX terminase (large subunit)	xtmB|ykxG	Xpf|	xtmAB-xkdEFGHIJKM	Xpf|						PBSX defective prophage terminase (large subunit)
BSU05300	ydeQ	unknown	unknown	ydeQ									putative NAD(P)H oxidoreductase
BSU17930	ccdA	cytochrome c synthesis	thiol-disulfide oxidoreductase	ccdA	SigA|	ccdA-yneIJ	sigA|sigH|						"cytochrome c-type biogenesis protein CcdA, thiol-disulfide oxido-reductase"
BSU28180	ysxD	unknown	unknown	ysxD									putative integral inner membrane protein
BSU08470	yfhB	unknown	unknown	yfhB									putative isomerase
BSU12780	xepA	phage release	PBSX prophage lytic exoenzyme	xepA|xkdY	Xpf|								lytic exoenzyme associated with defective prophage PBSX
BSU18040	yneP	unknown	putative 4-hydroxybenzoyl coenzyme-A thioesterase	yneP									putative acyl-CoA thioesterase
BSU20320	yorN	unknown	unknown	yorN									"hypothetical protein, phage SPbeta"
BSU21610	yokF	unknown	unknown	yokF									"SPbeta phage DNA nuclease, lipoprotein"
new_1094366_1094987_c	S359	The antisense RNA of purB	independent transcript	S359
BSU02260	ybfK	degradation of isoprenoid-containing lipids	carboxylesterase NP	ybfK|cesB	SigX|								carboxylesterase NP
BSU09760	yheE	unknown	unknown	yheE									conserved hypothetical protein
new_3123442_3124021_c	S1163	The antisense RNA of purQ	5'UTR of ytpA	S1163
new_467042_467129	S138		5'UTR of mtlR	S138
BSU02050	ybdO	unknown	unknown	ybdO	SigB|AbrB|	ybdO	sigD|	AbrB|	TF|	-1|	 @|	nan|	putative phage protein
new_696054_696194	S228		5'UTR of yebC	S228
new_929322_929389	S292		intergenic region	S292
BSU00480	yabJ	deamination of reactive intermediates generated in isoleucine biosynthesis	2-iminobutanoate/2-iminopropanoate deaminase	yabJ	PurR|	purR-yabJ		PurR|	TF+M|	-1|	PRPP|	-1|	putative enzyme resulting in alteration of gene expression
BSU34729	yvzJ	unknown	unknown	yvzJ									putative lipoprotein
new_1255943_1256078	S427		5'UTR of yjzE	S427
new_1018497_1020028_c	S327	The antisense RNA of yezC	intergenic region	S327
BSU04340	ydaP	unknown	putative pyruvate oxidase	ydaP	SigB|	ydaP	sigB|						putative enzyme with pyruvate as substrate
BSU08210	malQ	unknown	ABC transporter (ATP-binding protein)	yfiB									maltose and maltodextrin ABC transporter subunit (ATP-binding protein)
BSU18190	yngC	unknown	unknown	yngC	YclJ|		sigM|	YclJ|	TF-TC|	1|	unk|	-1|	putative integral inner membrane protein
BSU05880	gmuG	glucomannan utilization	"beta-1,4-mannanase"	gmuG|ydhT	SigA|AbrB|	Op158	sigA|	GmuR|CcpA|AbrB|	TF+M|TF+PP+M|TF|	-1|-1|1|	"Glucomannan|D-fructose-1,6-bisphosphate Glucose-6-Phosphate| @|"	-1|1 1|nan|	"exported mannan endo-1,4-beta-mannosidase"
new_1447578_1447661_c	S500		3'UTR of ykvS	S500
BSU05470	ydfM	Mn(II) export	manganese (II) efflux pump	mneP|ydfM	MntR|								putative divalent cation efflux transporter
BSU03620	yclA	regulation of resistance to salicylic acid	transcriptional activator ([SW|LysR family])	bsdA|yclA				BsdA|	TF+M|	NaN|	Salicylate::stress|	1|	putative transcriptional regulator (LysR family)
BSU04290	ydaL	synthesis of extracellular polysaccharide	unknown	ydaL	SigB|								conserved hypothetical protein
BSU38870	yxkA	unknown	unknown	yxkA									putative bacteriophage protein
BSU14920	ctaF	respiration	cytochrome-c oxidase (subunit IV)	ctaF	AbrB|	ctaBCDEFG	sigA|	ResD|CcpA|AbrB|Abh|	TF-TC|TF+PP+M|TF|TF|	1|-1|-1|-1|	"Menaquinone|D-fructose-1,6-bisphosphate Glucose-6-Phosphate| @| @|"	1|1 1|nan|nan|	cytochrome caa3 oxidase (subunit IV)
BSU09750	sspB	protection of spore DNA	small acid-soluble spore protein (major beta-type SASP)	sspB	SigG|	sspB	sigG|	SpoVT|	TF|	1|	nan|	nan|	small acid-soluble spore protein (beta-type SASP)
BSU32240	thrB	biosynthesis of threonine	homoserine kinase	thrB|thrA	SigA|ThrR|	Op60		CodY|	TF+M|	NaN|	GTP isoleucine valine|	1 1 1|	homoserine kinase
BSU35780	lytD	"major autolysin, cell separation"	peptidoglycan N-acetylglucosaminidase	lytD|cwlG	AhrC|SigD|	lytD	sigD|sigG|						exported N-acetylglucosaminidase (major autolysin) (CWBP90)
BSU04220	ydaG	survival of stress conditions	putative pyridoxamine 5'-phosphate oxidase	ydaG|yzzA	SigB|	ydaDEFG	sigB|						putative general stress protein
new_2053985_2054612	S708		independent transcript	S708
BSU23940	yqjB	unknown	"putative L,D-transpeptidase"	yqjB	SigG|								conserved hypothetical protein
BSU38330	lrgB.1	unknown	holin-like auxilary protein	ywbG|ipa-22r				*YwbI*|	silico-TF+unk|	NaN|	unk|	nan|	anti-holin factor controlling activity of murein hydrolases
BSU03580	yczE	unknown	unknown	yczE									integral inner membrane protein regulating antibiotic production
BSU31190	yulD	utilization of rhamnose	mutarotase	rhaM|yulD				*RhaR*|	silico-TF+M|	NaN|	L-rhamnulose-1-phosphate|	-1|	L-rhamnose mutarotase
new_2600050_2600154	S950		5' of S950	S950
new_546051_546165_c	S173		3'UTR of yddK	S173
BSU39530	yxeJ	unknown	unknown	yxeJ									hypothetical protein
BSU01120	fusA	translation	elongation factor G	fusA|fus	PucR|stringent response|			stringent response|	Nan|	-1|	NaN|	nan|	elongation factor G
BSU01800	alkA	adaptive response to alkylative DNA damage	DNA-3-methyladenine glycosylase	alkA	SigA|	alkA	sigA|sigE|	AdaA|	TF+S|	1|	Methylating::stress|	1|	DNA-3-methyladenine glycosylase
BSU28220	clpX	protein degradation	"AAA unfoldase, ATP-dependent Clp protease, ATP-binding subunit"	clpX	CtsR|	clpX	sigA|	CtsR|	TF+unstability|	-1|	HeatShock|	-1|	protein unfolding ATPase required for presentation of proteins to proteases
BSU26060	yqbM	unknown	unknown	yqbM									conserved hypothetical protein
new_2225616_2225829	S799		3'UTR of yonN	S799
BSU29960	ytlP	nucleotide metabolism	putative 2´-CPDase	ytlP	SigD|								2'-5' RNA-ligase family protein
BSU33790	sdpR	regulation of protection against [[protein|820635420B3980B620F3E3D7ACF7EDE9DC6275AD]]	transcriptional regulator ([SW|ArsR family])	sdpR|yvbA	AbrB|	sdpRI	sigA|	sdpR|AbrB|	TF+P|TF|	-1|-1|	Sdpc| @|	1|nan|	transcriptional regulator (ArsR family)
BSU02790	ycdB	unknown	unknown	ycdB									putative hydrolase
